,,,,,不獨表，防作弊,血量不要為0,,不讀表,,遊戲中/10000,,不讀表,遊戲中/100,不讀表,不讀表，在武器prefab中設定,,,,,不讀表,不讀表,不讀表,不讀表,不讀表,遊戲中/100,"遊戲中/100 (+ => 上, - =>下)",,,,,,,,,,,,
ID,物件名稱,Tag,Name,Level(等級),Max Level,Health,Armor,總生命,Mass,Speed,Strength,DPS,FireRate,攻擊距離,FireElevation,FireStrength,BulletGravity,LinearDrag,BulletLifetime,可攻擊數量,效果持續時間,效果數值,攻擊時機,效果作用方,WeightEffect,AngleEffect,MinOpenCells,MaxMass,,物件說明,材質,驅動類型,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,戎克船,S_,Ship01,0,4,400,305,705,10,150,0,,0,,0,0,0,0,0,,,,,,0,0,3,23,,中大型的木造船，具有一些中國風格的設計和裝飾，相當均衡的一艘船。,可燃物,物理,,,,,,
1001,戎克船,S_,Ship01,1,4,480,366,,10,150,0,,0,,0,0,0,0,0,,,,,,0,0,4,23,,中大型的木造船，具有一些中國風格的設計和裝飾，相當均衡的一艘船。,,,,,,,,
1001,戎克船,S_,Ship01,2,4,600,458,,10,150,0,,0,,0,0,0,0,0,,,,,,0,0,5,23,,中大型的木造船，具有一些中國風格的設計和裝飾，相當均衡的一艘船。,,,,,,,,
1001,戎克船,S_,Ship01,3,4,800,611,,10,150,0,,0,,0,0,0,0,0,,,,,,0,0,6,23,,中大型的木造船，具有一些中國風格的設計和裝飾，相當均衡的一艘船。,,,,,,,,
1001,戎克船,S_,Ship01,4,4,1200,917,,10,150,0,,0,,0,0,0,0,0,,,,,,0,0,7,23,,中大型的木造船，具有一些中國風格的設計和裝飾，相當均衡的一艘船。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,中型輪船,S_,Ship02,0,4,570,230,800,16,50,0,,0,,0,0,0,0,0,,,,,,0,0,4,35,,中型的木造輪船，較難平衡，擁有很高的血量和護甲。,可燃物,燃燒,,,,,,
1002,中型輪船,S_,Ship02,1,4,684,276,,16,50,0,,0,,0,0,0,0,0,,,,,,0,0,5,35,,中型的木造輪船，較難平衡，擁有很高的血量和護甲。,,,,,,,,
1002,中型輪船,S_,Ship02,2,4,855,345,,16,50,0,,0,,0,0,0,0,0,,,,,,0,0,6,35,,中型的木造輪船，較難平衡，擁有很高的血量和護甲。,,,,,,,,
1002,中型輪船,S_,Ship02,3,4,1140,460,,16,50,0,,0,,0,0,0,0,0,,,,,,0,0,7,35,,中型的木造輪船，較難平衡，擁有很高的血量和護甲。,,,,,,,,
1002,中型輪船,S_,Ship02,4,4,1710,690,,16,50,0,,0,,0,0,0,0,0,,,,,,0,0,8,35,,中型的木造輪船，較難平衡，擁有很高的血量和護甲。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,快艇,S_,Ship03,0,4,100,400,500,9,350,0,,0,,0,0,0,0,0,,,,,,0,0,3,18,,流線型設計，速度快。,金屬,燃燒,,,,,,
1003,快艇,S_,Ship03,1,4,120,480,,9,350,0,,0,,0,0,0,0,0,,,,,,0,0,4,18,,流線型設計，速度快。,,,,,,,,
1003,快艇,S_,Ship03,2,4,150,600,,9,350,0,,0,,0,0,0,0,0,,,,,,0,0,5,18,,流線型設計，速度快。,,,,,,,,
1003,快艇,S_,Ship03,3,4,200,800,,9,350,0,,0,,0,0,0,0,0,,,,,,0,0,6,18,,流線型設計，速度快。,,,,,,,,
1003,快艇,S_,Ship03,4,4,300,1200,,9,350,0,,0,,0,0,0,0,0,,,,,,0,0,7,18,,流線型設計，速度快。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004,氣墊船,S_,Ship04,0,4,250,50,350,5,500,0,,0,,0,0,0,0,0,,,,,,0,0,4,12,,依靠氣墊浮在水上，輕巧但容易翻覆。,可燃物,燃燒,,,,,,
1004,氣墊船,S_,Ship04,1,4,300,60,,5,500,0,,0,,0,0,0,0,0,,,,,,0,0,5,12,,依靠氣墊浮在水上，輕巧但容易翻覆。,,,,,,,,
1004,氣墊船,S_,Ship04,2,4,375,75,,5,500,0,,0,,0,0,0,0,0,,,,,,0,0,6,12,,依靠氣墊浮在水上，輕巧但容易翻覆。,,,,,,,,
1004,氣墊船,S_,Ship04,3,4,500,100,,5,500,0,,0,,0,0,0,0,0,,,,,,0,0,6,12,,依靠氣墊浮在水上，輕巧但容易翻覆。,,,,,,,,
1004,氣墊船,S_,Ship04,4,4,750,150,,5,500,0,,0,,0,0,0,0,0,,,,,,0,0,6,12,,依靠氣墊浮在水上，輕巧但容易翻覆。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,軍艦,S_,Ship05,0,4,200,550,750,35,100,0,,0,,0,0,0,0,0,,,,,,0,0,4,70,,鐵製船體，龐大且沉重，但可裝備更多物件。,乙太合金,電磁力,,,,,,
1005,軍艦,S_,Ship05,1,4,240,660,,35,100,0,,0,,0,0,0,0,0,,,,,,0,0,5,70,,鐵製船體，龐大且沉重，但可裝備更多物件。,,,,,,,,
1005,軍艦,S_,Ship05,2,4,300,825,,35,100,0,,0,,0,0,0,0,0,,,,,,0,0,6,70,,鐵製船體，龐大且沉重，但可裝備更多物件。,,,,,,,,
1005,軍艦,S_,Ship05,3,4,400,1100,,35,100,0,,0,,0,0,0,0,0,,,,,,0,0,7,70,,鐵製船體，龐大且沉重，但可裝備更多物件。,,,,,,,,
1005,軍艦,S_,Ship05,4,4,600,1650,,35,100,0,,0,,0,0,0,0,0,,,,,,0,0,8,70,,鐵製船體，龐大且沉重，但可裝備更多物件。,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level,HP提升值,ATK提升值,二合等級
2001,火炮,W_,Cannonball,0,4,280,0,280,0.5,0,100,1,100,中,35,30,7,0,5,1,,,,,0,0,0,0,,由尾端點火的舊式火砲，彈道為拋物線。,金屬,燃燒,,武器,0,,,
2001,火炮,W_,Cannonball,1,4,336,0,,0.5,0,120,,100,,35,30,7,0,5,,,,,,0,0,0,0,,由尾端點火的舊式火砲，彈道為拋物線。,,,,武器,1,1.2,1.2,1.2
2001,火炮,W_,Cannonball,2,4,420,0,,0.5,0,150,,100,,35,30,7,0,5,,,,,,0,0,0,0,,由尾端點火的舊式火砲，彈道為拋物線。,,,,武器,2,1.25,1.25,1.25
2001,火炮,W_,Cannonball,3,4,560,0,,0.5,0,200,,100,,35,30,7,0,5,,,,,,0,0,0,0,,由尾端點火的舊式火砲，彈道為拋物線。,,,,武器,3,1.333333333,1.333333333,1.2
2001,火炮,W_,Cannonball,4,4,840,0,,0.5,0,300,,100,,35,30,7,0,5,,,,,,0,0,0,0,,由尾端點火的舊式火砲，彈道為拋物線。,,,,武器,4,1.5,1.5,1.22
,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,床弩,W_,Arcuballista,0,4,220,0,200,0.5,0,260,1.3,50,遠,0,30,0.3,0,0.6,1,,,,,0,0,0,0,,自動發射的弓箭，直線攻擊敵人。,可燃物,物理,,特殊武器,0,,,
2002,床弩,W_,Arcuballista,1,4,264,0,,0.5,0,312,,50,,0,30,0.3,0,0.6,,,,,,0,0,0,0,,自動發射的弓箭，直線攻擊敵人。,,,,特殊武器,1,,1.2,
2002,床弩,W_,Arcuballista,2,4,330,0,,0.5,0,390,,50,,0,30,0.3,0,0.6,,,,,,0,0,0,0,,自動發射的弓箭，直線攻擊敵人。,,,,特殊武器,2,,1.25,
