,定義,作用方式,待討論／未決定,對未確定的解釋,美術備註
血量,"血量歸零為其中一種戰鬥結束的規則
血量主要由船身提供，少量配件也會提供部份血量",,,,
護盾,"一般的傷害類型在有護盾時會優先對護盾造成傷害
護盾與血量的價值相等
護盾主要由部件提供，可理解為部件的血量",,,,
一般傷害類型,"主要由常規武器造成
會優先對護盾造成傷害，沒有護盾時才會對血量造成傷害","基本邏輯是1傷害扣1點護盾
傷害如何計算可以先簡單處理，後續隨武器類型增加再調整",,,
衝撞傷害類型,"指船隻在互相碰撞時對雙方造成的傷害類型
衝撞類型傷害不會由護盾扣抵，會直接對血量造成傷害","傷害與船身重量與速度相關
也有部份部件能夠直接增加衝撞傷害","碰撞時帶來的反傷，此一設計是為了真實性的模擬，也可以不需要
初步想法：反傷是自身衝撞傷害的一定比例
1. 雙方的血量或衝撞傷害的差距大到一定界限才會造成反傷
2. 只要造成傷害即有反傷
3. 是否需要再根據木船、鐵船等堅固程度對船隻的反傷比例進行差異化","衝撞傷害的造傷邏輯是1傷害扣1點血量，並功速最高採每秒造傷一次
反傷的運作應該作用在雙方重量差距過大的情況下
反傷機制 = 負重量差距 > 自身負重 ，(負重量差距 / 自身負重 - 1) * 衝撞傷害",
特殊傷害類型,對重量與對平衡性造成影響的類型,,未確定的部份較多，之後再來處理,,
攻擊力,,,,,
攻擊速度,,目前運作上是攻擊動畫結束後的間隔,"目前存在兩個問題
1. 攻擊間隔的參數需要有單位能夠識讀，例如5代表5/1000秒等，不能只靠體感
2. 實際的攻擊間隔還跟動畫演出有關，需要有能夠計算實際攻擊速度的方法，在顥示武器DPS的時候會需要
3. 建議與程式先討論以禎為單位或是秒","與美術討論過後可以修改成用動畫控制1秒要發幾次了
可以用0.1攻速下去測試武器攻速動畫
攻速 = 每秒攻擊次數
例 : 5 = 1秒攻擊5次",
,,,,,
載重量,船隻能夠承載的重量，或者是提供的浮力，僅有船體有這個參數,當船的負重量大於載重量，船即會沉沒,"不確定目前的作用形式，以上次版本看到的狀況
沉船與否是由圖形的上緣是否低於海平面來決定",跟程式討論過後，是可以做到船身低於水面下後就會沈船。,
重量,部件,,"原本沒有想到船體本身也必須要有重量
","跟程式討論船本身的重量其實就是載重量，部件的重量總和不得超過船重太多
，否則會讓船身低於水面，直接沈船。且船的晃動也會取決於船的重量。",
速度,"直接影響前進速度
船體本身有一個固定的速度",不考慮加速度，勻速的移動即可,,,
推力,"
主要是放在動力部件上，部份武器的後座力也會有這個參數
需要通過與重量轉換成速度才起作用","影響的速度與總重量成反比
同樣的推力，放在大船上對速度的影響要小於在小船上","先前因考慮移除動力部件所以沒有加入這個參數
想了一下如果要保留動力部件，為了使動力部件的作用在大船與小船上做出區隔還是需要這個參數","增加的速度 = 推力 / 船的負重
負重不得為零
對於擁有擊退性與後座力的武器所造成的推力應該與船速度相反方向",
吃水量,負重量/載重量得出的一個小於1的百分比數,"大於1理論上會沉沒，故必然是小於1
負重比應會用於平衡計算中，放大或縮小部件的平衡變化
可能也可以用於一些地形，吃水量超過一定程度會翻覆","需要做些研究或調查，我沒有辦法用直覺判斷
是吃水量大會比較穩定（縮小部件平衡變化）或是吃水量小會比較穩定",,
平衡,,"應是一個傾角，傾角越接近水平（０度）表示越平衡
部件的重量與錨點距中心點的力矩得出一個值
將船分成前半以及後半，前半與後半相減值相比得出傾角
傾角大於某個值則會翻覆","需要研究一下三角函數了
這邊要怎麼從相減的值得出傾角暫時沒有概念",,
穩定度,"目前對這個參數概念較模糊
現在可能傾向取消",邏輯上平衡傾角越接近0度，吃水量越小(還是越大?)，船隻會越穩定,"原本的思考是用一個綜合的判斷來決定沉船與否，並且讓平衡類的特殊武器直接對這個值做影響
但重量和傾角兩個參數好像比較適合獨立運作",,
,,,,,
比例尺,"用於顯示畫面尺度的單位，影響攝影機位置及物件縮放
用以處理遊戲歷程中獲取更大型的船及部件後不會使錨點數量不斷增長
不同比例尺的船及部件在組裝時不影響錨點部份的邏輯
但在組裝完成後需要根據比例尺縮放及視覺大小","基礎值為100，數值越大表示其尺寸越大
比例尺為120的部件放在100的船身意味部件的大小需要放大120/100=120%
反之比例尺為100的部件放在120的船身需要縮小100/120=83%",,,採數值倍率放大，擔心會有圖素解析度問題(模糊狀況)
彈道,遠程武器的攻擊方式,"目前彈道由(x,y)決定發射角度與發射力道，無法用角度控制",,"與程式討論可以修改成用角度與發射力道決定彈道了
彈道 = (cos⁡θ ,sin⁡θ)*發射力道",
發射角度,遠程武器的發射子彈時的角度,"用(cos⁡θ ,sin⁡θ)決定發射的(x,y)",,,
發射力道,遠程武器發射子彈時的施力力道,,,,
